userId,movieId,rating,timestamp
7271,79047,3.0,1353427837
7604,144558,3.0,1049291877
861,139371,2.0,1727921297
5391,57554,5.0,1528974650
5227,84083,4.0,1718888210
5192,35655,4.0,970798404
3773,68374,4.0,1317111825
3093,132603,5.0,1180825041
5735,37011,4.0,1681791419
6266,13297,4.0,1406666904
467,72106,3.0,1028081710
5335,75125,4.0,1298240380
4427,24393,2.0,1371908725
5579,18912,4.0,968867366
6232,17635,3.0,1347735019
3445,94307,5.0,1280303445
3172,15354,5.0,1485591724
2920,5536,3.0,1226582410
7832,101881,4.0,1461198871
131,35968,4.0,1265585473
1686,50200,3.0,1602422430
7477,56312,5.0,1367521469
770,87810,5.0,1208074550
2392,116062,3.0,1706376756
5612,96298,2.0,1097155923
7582,84404,5.0,1457219788
6950,35430,4.0,1592429095
2434,25702,4.0,1158361710
5312,94135,3.0,1066620017
5052,32850,3.0,1565143277
6421,24913,1.0,1586348296
1185,111631,4.0,1379430705
4556,142391,4.0,1650854927
3386,104522,4.0,1505452235
4118,147791,3.0,1602838776
6397,27110,4.0,1702345357
4844,99222,5.0,1032921290
2905,29820,4.0,1219426941
7729,105402,3.0,1586065617
475,95379,3.0,1751599159
1083,62242,3.0,1053075928
2559,63956,4.0,1394290948
7850,98084,4.0,1116070236
2048,127838,4.0,1406819354
7644,20628,5.0,1127803879
2748,139289,4.0,1126004346
976,56261,4.0,1740540310
1807,20853,1.0,1750316700
190,111029,3.0,951213932
7102,129658,4.0,950121364
2735,80293,4.0,1011576808
3006,54927,3.0,1094722860
4659,129729,5.0,994339635
1900,45158,3.0,1627095073
7735,114915,3.0,1149655135
1268,112700,5.0,1125083641
6976,71748,4.0,1034777467
1529,125912,4.0,1243728337
3203,140386,3.0,985182899
3557,36004,4.0,1710672538
3891,22990,5.0,1422904361
647,122974,3.0,1080223491
6165,49155,3.0,1400408665
2889,39441,3.0,1141004711
6311,139404,5.0,1715552725
5394,25425,4.0,1014946089
2436,74181,3.0,1740231335
601,140050,4.0,1238232765
2364,109317,1.0,1051358616
2062,47227,4.0,1535584246
242,7435,4.0,1416059700
2042,93189,2.0,1725214007
2825,128710,3.0,1568609899
7514,11938,3.0,1050886418
2613,11218,1.0,1450829744
7042,125963,4.0,1321926893
1364,55590,4.0,1527581228
6236,78825,4.0,1662989114
5487,115934,4.0,979043500
7100,7780,2.0,1499466825
1479,54740,4.0,951644212
7596,4465,4.0,1199903379
2557,1933,4.0,1155809869
776,118498,4.0,1508100935
4015,19581,5.0,1136165346
35,87208,5.0,1184039756
6350,36145,4.0,1287644211
3153,87532,3.0,1212775228
1956,69712,2.0,1563159096
1586,51578,3.0,1363389776
3944,76647,3.0,1229406191
7556,66962,3.0,1278933388
3074,102286,4.0,1755081437
1022,102060,4.0,1623856251
3462,122764,3.0,1255851920
2614,6462,4.0,1238247205
5226,27872,2.0,1513250666
3844,25917,3.0,1598152493
7990,12112,4.0,1157203636
1501,123412,2.0,979386986
4799,57784,3.0,1507876511
6546,22650,5.0,999807587
6874,114633,3.0,1488439869
5676,64677,4.0,1417731646
162,96389,4.0,1708993760
4298,87347,5.0,1429687425
1982,100547,4.0,1474255372
996,16777,5.0,1727311714
6414,13835,4.0,1182497493
4912,109010,4.0,1203302370
3343,131216,4.0,982575339
4552,59353,4.0,1367053353
7630,10389,5.0,1681995957
3799,134368,2.0,1719680909
